School ,Subjects,lab coat,eyeglasses,facial hair,pencil/pen in pocket,unkempt appearance,test tubes,flasks,microscope,bunsen burner,experimental animals,other (symbols of research),books,filing cabinets,other (symbols of knowledge),solutions in glassware,machines,other (signs of technology),scientist gender,scientist race,overall appearance of scientist,Subjectspost,plab coat,peyeglasses,pfacial hair,ppencil/pen in pocket,punkempt appearance,ptest tubes,pflasks,pmicroscope,pbunsen burner,pexperimental animals,pother (symbols of research),pbooks,pfiling cabinets,pother (symbols of knowledge),psolutions in glassware,pmachines,pother (signs of technology),pscientist gender,pscientist race,poverall appearance of scientist,Subjectspostpost,pplab coat,ppeyeglasses,ppfacial hair,pppencil/pen in pocket,ppunkempt appearance,pptest tubes,ppflasks,ppmicroscope,ppbunsen burner,ppexperimental animals,ppother (symbols of research),ppbooks,ppfiling cabinets,ppother (symbols of knowledge),ppsolutions in glassware,ppmachines,ppother (signs of technology),ppscientist gender,ppscientist race,ppoverall appearance of scientist
Patterson ,P4(drawings averaged),y,n,n,n,n,y,y,n,n,y,n,n,n,desk,y,m,m,f,don't know,S,P4 (drawings averaged),n,y,n,n,y,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,E,P4(drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,y,n,n,n,y,n,n,n,n,n,n,n,desk,y,n,n,m,don't know,E,P4 (drawings averaged),n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,don't know,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,y,n,n,n,n,n,n,n,n,n,n,n,desk,n,y (computer),n,f,don't know,P,P4 (drawings averaged),y,n,y,n,n,y,y,y,n,y,ruler,n,n,lab bench,y,n,n,m,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,y,n,n,n,y,y,n,n,n,n,n,n,bench,y,n,n,m,don't know,E,P4 (drawings averaged),n,y,n,n,n,n,n,n,n,y,dry ice,n,n,n,y,n,large vat for liquid nitrogen,m,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,y,n,y,n,n,n,n,n,n,"volcano, lava",n,n,cart,n,n,n,m,don't know,N,P4 (drawings averaged),n,n,n,n,n,n,y,y,n,y,n,n,n,n,y,n,n,don't know,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,n,n,n,m,y,y,n,n,n,n,n,n,electric wires,y,y,y (explosion),m,don't know,P,P4 (drawings averaged),n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,y (glowball),n,m,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,y,y,y,y,n,y,n,n,n,n,n,n,n,y,n,n,m,don't know,E,P4 (drawings averaged),y,n,n,n,n,n,n,n,n,n,n,n,n,desk,n,y (glowball),y (cylinder with ball)),don't know,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,y,n,y,y,y,y,n,n,n,n,n,n,desk,n,n,y (bubbles),m,don't know,P,P4 (drawings averaged),n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,robot,don't know,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,y,y (explosion),m,don't know,N,P4 (drawings averaged),n,n,n,n,n,n,n,n,n,y,computer,n,n,desk,n,y (computer keyboard),n,don't know,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,n,n,n,n,y,y,n,n,n,notebook,n,n,"desk, lab book",y,n,y (bubbles),f,don't know,P,P4 (drawings averaged),n,n,n,n,n,n,n,n,n,n,computer,n,n,desk,n,y (computer),n,m,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),n,n,n,n,n,y,y,n,n,n,funnel,n,n,bench,y,n,y (smoke stack),m,don't know,P,P4 (drawings averaged),n,y,n,y,n,n,n,n,n,n,electric equipment,n,n,n,n,y,glowball,m,don't know,P,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4(drawings averaged),n,n,n,n,n,n,n,n,n,n,lab,n,n,n,n,n,n,m,don't know,P,P4 (drawings averaged),n,y,y,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,P4(drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),y,y,y,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,E,P4 (drawings averaged),n,y,y,n,n,n,n,n,n,n,glowball,n,n,desk,n,y (glowball),n,m,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Patterson ,P4 (drawings averaged),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P4 (drawings averaged),n,n,n,n,n,n,n,n,n,n,glowball,n,n,desk,n,y (glowball),n,f,don't know,N,P4 (drawings averaged),no secondary post data ,,,,,,,,,,,,,,,,,,,
Weinberg,WBG1,n,y,n,n,y,n,n,n,n,y,"volcanoes, bacteria",n,n,desk,n,n,n,m,don't know,P,WBG1,y,y,y,n,y,n,n,n,n,n,"dry ice, electricity",n,y,n,n,n,n,m,don't know,E,WBG1,n,y,n,n,y,n,n,n,n,n,n,n,n,word poison,n,n,n,m,don't know,S
Weinberg,WBG2,n,y,n,n,y,n,n,n,n,y,n,y,n,desk,n,y,n,f,don't know,E,WBG2,n,y,n,n,n,y,y,n,n,n,"sun, pyramids",n,n,desk,y,n,n,f,don't know,P,WBG2,n,n,n,n,n,n,y,n,n,n,"borox, slime",n,n,bench,y,n,n,f,don't know,P
Weinberg,WBG3,n,n,n,n,n,n,n,n,n,n,"tools, fossils",n,n,desk,n,n,n,f,don't know,N,WBG3,n,n,n,n,n,y,n,n,n,n,"lava, volcano",n,n,n,y,n,n,m,don't know,P,WBG3,y,n,n,n,n,n,y,n,n,n,plants,n,n,n,y,n,n,f,don't know,P
Weinberg,WBG4,n,y,n,n,n,n,y,n,n,n,volcanoe,n,n,desk,y,n,n,m,don't know,P,WBG4,n,y,n,n,n,y,y,n,n,n,liquid nitrogen,n,n,desk,n,n,n,m,don't know,P,WBG4,n,n,n,n,n,n,n,n,n,n,?fire,n,n,n,n,n,rockets,don't know,don't know,S
Weinberg,WBG5,y,y,n,n,n,n,y,n,n,n,Mount Everest,n,n,n,y,n,n,f,don't know,N,WBG5,n,n,n,n,n,n,n,n,n,n,"ball,liquid nitrogen,sun",n,n,ASU flag,n,n,n,f,don't know,P,WBG5,n,n,n,n,n,n,n,n,n,n,oxygen,n,n,minerals,n,n,n,don't know,don't know,N
Weinberg,WBG6,n,n,n,n,y,y,y,n,n,n,"gunpowder, fire, gas",n,y,n,n,n,n,m,don't know,P,WBG6,n,n,n,n,y,y,y,n,n,n,cloud,n,n,n,n,n,n,m,don't know,E,WBG6,n,y,n,n,n,n,n,n,n,n,beakers or bottles,n,n,medicines,n,n,n,don't know,don't know,N
Weinberg,WBG7,n,n,n,n,n,y,n,n,n,n,chemicals reacting,n,n,desk,y,n,n,f,don't know,N,WBG7,n,n,n,n,n,n,n,n,n,n,explosion,n,n,desk,n,n,n,m,don't know,P,WBG7,y,n,n,n,n,n,y,n,n,n,fumes,n,n,"ASU, mentions gases and energy",y,n,n,f,don't know,P
Weinberg,WBG8,n,n,n,n,n,n,n,n,n,n,flowers,n,n,n,n,n,n,f,don't know,P,WBG8,n,n,n,n,n,n,n,n,n,y,n,n,n,desk,n,n,n,f,don't know,P,WBG8,n,n,n,n,n,n,n,n,n,n,plants,n,n,n,y,n,n,don't know,don't know,N
Weinberg,WBG9,n,n,n,n,n,n,n,n,n,n,"explosions, outdoor",n,n,desk,n,n,n,m,don't know,P,WBG9,n,y,n,n,n,n,n,n,n,n,weird contraption thing,n,n,school,n,n,n,m,don't know,E,WBG9,n,n,n,n,n,y,n,n,n,n, fumes,n,n,university of NC,y,n,rockets,don't know,don't know,S
Weinberg,WBG10,y,y,n,n,n,n,y,n,n,n,n,n,n,desk,y,y,n,f,don't know,E,WBG10,n,y,n,n,n,n,y,n,n,n,explosions,n,n,desk,y,y (van der graaf generator),n,f,don't know,"E,P",WBG10,y,y,n,n,n,y,y,n,n,n,"test tube rack, fumes",n,y,n,y,n,n,f,don't know,N
Weinberg,WBG11,n,n,n,n,n,n,n,n,n,n,"bones,tools",n,n,n,n,n,n,f and m (two people),don't know,P,WBG11,n,y,n,n,y,n,n,n,n,n,"fossils, desert",n,n,n,n,n,n,m,don't know,"E,P",WBG11,n,y,n,n,n,n,y,n,y,n,fumes,n,n,n,y,n,n,f,don't know,N
Weinberg,WBG12,y,n,n,n,y,y,y,n,n,y,"volcano, acid, vinegar",n,n,desk,y,y,n,m,don't know,E,WBG12,n,n,n,n,n,n,n,n,n,y,"van der Graff generator, volcano, rocket (?)",n,n,shelves,n,n,n,f,don't know,P,WBG12,n,n,n,n,n,n,y,n,n,y,n,n,y,"so interesting"" ""why..",n,n,n,f,don't know,P
Weinberg,WBG14,n,n,n,n,n,y,n,n,n,n,"wires, light bulb",n,n,desk,y,n,n,m,don't know,N,WBG14,n,n,n,n,n,n,n,n,n,n,"dried ice, liquid nitrogen",n,n,n,n,n,n,don't know (stick figures),don't know,P,WBG14,n,n,n,n,n,n,y,n,n,n,"fumes, poof",n,n,"bench, ASU,",y,n,electricity,f,don't know,P
Weinberg,WBG15,y,n,n,n,n,n,y,n,n,n,"computer, volcano",n,n,desk,y,y,n,m,don't know,P,WBG15,y,n,n,n,n,n,y,n,n,n,van der graff generator,n,n,desk,y,y,n,m,don't know,P,WBG15,n,n,n,n,n,n,n,n,n,n,dinosaur skeleton,n,n,term archeologist,n,n,n,don't know,don't know,N
Weinberg,WBG16,y,n,n,n,n,n,y,n,n,y,n,n,n,desk,y,y,n,m,don't know,P,WBG16,n,n,n,n,n,y,y,n,n,y,van der Graff generator,n,y,n,y,n,n,m,don't know,"P,E",WBG16,y,n,n,n,n,n,y,n,n,n,some sort of distillation apparatus,n,n,n,n,n,n,m,don't know,N
Weinberg,WBG17,n,y,n,n,n,n,n,n,n,n,"fossils, dead rats, tools",n,n,desk,n,y,n,f,don't know,P,WBG17,n,y,n,n,n,y,y,n,n,n,car,n,n,n,y,n,n,m,don't know,N,WBG17,n,n,n,n,n,n,n,n,n,n,telescope,n,n,NASA,n,n,n,don't know,don't know,N
Weinberg,WBG18,n,n,n,n,n,n,n,n,n,y,"trees, tools",n,n,n,n,n,n,m,don't know,N,WBG18,n,n,n,n,n,n,y,y,y,n,fan,n,n,n,y,n,n,m,don't know,P,WBG18,n,n,n,n,n,n,n,n,n,n,"rocket, planets",n,n,planets,n,"y, rocket",n,don't know,don't know,P
Weinberg,WBG19,n,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,WBG19,n,n,n,n,n,y,y,n,n,n,ball,n,n,desk,y,n,n,f,don't know,P,WBG19,n,n,n,n,n,n,y,n,n,n,n,n,n,ASU,y,n,n,f,don't know,N
Weinberg,WBG20,n,n,n,n,n,y,n,n,n,n,volcano,n,n,desk,y,n,n,m,don't know,N,WBG20,y,y,y,n,y,n,y,n,n,n,"ball,rocket,pot,moon",n,n,shelves,y,y (can't tell what they are but has on off switch),n,m,don't know,"E,P",WBG20,n,n,n,y,n,n,n,n,n,n,note pad,n,n,n,n,y,hover cars,don't know,don't know,N
Weinberg,WBG21,y,y,n,n,y,n,n,n,n,n,"light bubs, wires",n,n,desk,n,n,n,m,don't know,"E,P",WBG21,y,n,n,n,n,n,n,n,n,n,"sun, waves",n,n,n,n,n,n,f,don't know,N,WBG21,n,n,n,n,n,n,n,n,n,n,volcano,n,n,n,n,n,n,f,don't know,N
Weinberg,WBG22,n,n,n,n,n,n,n,n,n,n,"series circuit, battery, EIffel tower",n,n,n,n,n,n,m,don't know,N,WBG22,y,n,n,n,n,y,y,n,n,n,"chemicals,sun",n,n,desk,n,n,n,f,don't know,N,WBG22,y,n,n,n,n,n,y,n,n,n,n,n,n,"says""mixing formula""",y,n,n,f,don't know,P
Weinberg,WBG23,Y,N,N,N,y,y,y,n,n,n,formulas,n,n,desk,y,n,n,m,don't know,N,WBG23,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y (robot),n,m,don't know,P,WBG23,n,y,n,n,y,y,n,n,n,n,test tube rack,n,n,n,y,y,lightning,don't know,don't know,E
Weinberg,WBG24,N,Y,N,N,Y,N,Y,N,N,N,N,n,n,desk,y,n,n,m,don't know,N,WBG24,Y,N,N,N,Y,N,N,N,n,n,electricity,n,n,desk,n,y (computer),n,m,african-american,N,WBG24,y,y,n,n,n,n,n,n,n,y,"water bath, mask, gloves",n,n,n,y,n,n,multiple,don't know,P
Weinberg,WBG25,N,N,N,N,N,N,N,N,N,N,cadaver,n,y,desk,n,y (computer),n,don't know,don't know,N,WBG25,N,Y,n,n,n,n,n,n,n,n,n,n,n,n,n,y (rocket),n,m,don't know,P,WBG25,n,n,n,n,n,n,n,y,n,n,"NASA, strage animals",n,n,n,n,y,n,m,don't know,N
Weinberg,WBG26,N,Y,N,N,Y,N,N,N,N,Y,n,n,n,n,n,y (spacecraft),n,don't know,don't know,P,WBG26,N,N,N,Y,N,N,N,N,N,N,weather charts,n,n,n,n,y (screens),n,m,don't know,P,WBG26,n,n,n,n,n,n,n,n,n,n,Submarine,n,n,Titanic,n,robots,n,m,don't know,P
Weinberg,WBG27,n,y,n,n,n,n,y,n,n,n,n,n,y,desk,y,n,n,m,don't know,P,WBG27,n,y,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,m,don't know,P,WBG27,n,n,n,n,n,n,y,n,n,n,no,n,n,n,y,n,n,don't know,don't know,N
Weinberg,WBG28,y,y,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,WBG28,y,y,n,n,n,y,y,n,n,n,n,n,Y,desk,y,n,n,f,don't know,P,WBG28,y,n,n,n,n,y,y,n,n,n,fumes,n,n,n,y,n,n,f,don't know,N
Weinberg,WBG29,Y,y,n,n,n,n,n,n,n,n,protective suit,n,n,n,n,n,n,m,don't know,E,WBG29,Y,Y,N,N,N,N,N,N,N,N,human experimentation,n,n,n,n,y (telescope),n,m,don't know,"P, S",WBG29,n,n,n,n,n,n,y,n,n,n,"smoke, fire",n,n,n,y,n,lab bench,don't know,don't know,N
Weinberg,WBG30,n,n,n,n,n,n,n,n,n,n,experimental plants,n,y,n,n,n,n,m,don't know,P,WBG30,n,n,n,n,n,n,n,n,n,n,clipboard,n,n,n,n,y (robot),n,m,don't know,P,WBG30,n,n,n,n,n,n,n,n,n,y,switches,n,n,bench,n,y,electricity,m,don't know,P
Weinberg,WBG31,N,N,N,N,Y,N,N,N,N,N,circuit,n,n,desk,n,y (lightbulb),n,don't know,don't know,S,WBG31,n,y,n,n,n,n,n,n,n,n,circuit,n,n,desk,n,y (lightbulb),n,m,don't know,N,WBG31,n,n,n,n,n,n,y,n,n,n,n,n,n,bulb,y,n,n,m,don't know,N
Weinberg,WBG32,y,n,n,n,n,y,y,n,n,n,globe,n,n,n,y,n,n,m,don't know,P,WBG32,y,n,n,n,n,y,y,n,n,n,globe,n,n,desk,y,n,n,m,don't know,P,WBG32,n,n,n,n,n,n,y,n,n,n,lab bench,n,y,n,y,n,?rocket,m,don't know,N
Weinberg,WBG33,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,n,n,m,don't know,P,WBG33,y,n,n,y,n,n,y,n,n,n,safety gloves,n,n,n,y,n,n,m,don't know,P,WBG33,y,n,n,n,n,n,n,n,n,n,Big bone skull,n,n,n,n,n,n,don't know,don't know,N
Weinberg,WBG34,N,n,n,n,n,n,y,n,n,n,science center,n,n,n,y,n,n,m,don't know,P,WBG34,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,WBG34,n,n,n,n,n,n,y,n,n,n,fumes,n,n,lab bench,n,n,n,"m, f",don't know,N
Weinberg,WBG35,Y,N,N,Y,N,N,N,N,N,Y,illusion,n,n,n,n,n,n,f,don't know,P,WBG35,N,N,N,Y,N,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,WBG35,y,n,n,y,n,y,y,n,y,n,fumes,n,n,lab bench,y,n,n,f,white,P
